path,group,sf,bw,cr,crc_flag,implicit_header,ldro_mode,truth_present,truth_hex,cpp_status,cpp_hex,cpp_crc_ok,gr_status,gr_hex,gr_crc_ok,winner,reason
/home/aquay/lora-lite-phy/golden_vectors/custom/tx_sf7_bw125000_cr3_crc1_impl0_ldro0_criminal.cf32,custom,7,125000,3,True,False,0,True,01012a15414e4e4945415245594f554f4b41593f3f,success,01012a15414e4e4945415245594f554f4b41593f3f,True,success,01012a15414e4e4945415245594f554f4b41593f3f,True,both,truth_match
/home/aquay/lora-lite-phy/golden_vectors/custom/tx_sf8_bw125000_cr4_crc1_impl0_ldro0_pay44.cf32,custom,8,125000,4,True,False,0,True,4469642049206d616e61676520746f20696d706c656d656e74206120726563656976657220696e20432b2b3f,success,4469642049206d616e61676520746f20696d706c656d656e74206120726563656976657220696e20432b2b3f,True,success,4469642049206d616e61676520746f20696d706c656d656e74206120726563656976657220696e20432b2b3f,True,both,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr3_crc1_impl0_ldro0_pay19.cf32,extended_batch,10,125000,3,True,False,0,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f546553544f5045594c5f4144,False,success,5354524553535f544553545f5041594c4f4144,True,gr,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr3_crc1_impl0_ldro1_pay19.cf32,extended_batch,10,125000,3,True,False,1,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f544553545f5041594c4f4144,True,success,5354524553535f544553545f5041594c4f4144,True,both,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr3_crc1_impl0_ldro2_pay19.cf32,extended_batch,10,125000,3,True,False,2,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f546553544f5045594c5f4144,False,success,5354524553535f544553545f5041594c4f4144,True,gr,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr4_crc1_impl0_ldro0_pay19.cf32,extended_batch,10,125000,4,True,False,0,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f546553544f5041594c5f4140,False,success,5354524553535f544553545f5041594c4f4144,True,gr,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr4_crc1_impl0_ldro1_pay19.cf32,extended_batch,10,125000,4,True,False,1,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f544553545f5041594c4f4144,True,success,5354524553535f544553545f5041594c4f4144,True,both,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr4_crc1_impl0_ldro2_pay19.cf32,extended_batch,10,125000,4,True,False,2,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f546553544f5041594c5f4140,False,success,5354524553535f544553545f5041594c4f4144,True,gr,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr3_crc1_impl0_ldro0_pay19.cf32,extended_batch,11,125000,3,True,False,0,True,5354524553535f544553545f5041594c4f4144,failed,,False,success,,,neither,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr3_crc1_impl0_ldro1_pay19.cf32,extended_batch,11,125000,3,True,False,1,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f544553545f5041594c4f4144,True,success,,,cpp,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr3_crc1_impl0_ldro2_pay19.cf32,extended_batch,11,125000,3,True,False,2,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f544553545f5041594c4f4144,True,success,,,cpp,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr4_crc1_impl0_ldro0_pay19.cf32,extended_batch,11,125000,4,True,False,0,True,5354524553535f544553545f5041594c4f4144,failed,,False,success,,,neither,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr4_crc1_impl0_ldro1_pay19.cf32,extended_batch,11,125000,4,True,False,1,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f544553545f5041594c4f4144,True,success,,,cpp,truth_match
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr4_crc1_impl0_ldro2_pay19.cf32,extended_batch,11,125000,4,True,False,2,True,5354524553535f544553545f5041594c4f4144,success,5354524553535f544553545f5041594c4f4144,True,success,,,cpp,truth_match
